@relation donem_ornek

@attribute DonemTipi {Gunluk,Aylik,Yillik}
@attribute Ay {Ocak,Subat,Mart,Nisan,Mayis,Haziran,Temmuz,Agustos,Eylul,Ekim,Kasim,Aralik}
@attribute Yas numeric
@attribute Class {A,B,C}

@data
Gunluk,Agustos,58,C
Yillik,Aralik,22,C
Aylik,Eylul,23,C
Yillik,Temmuz,23,C
Aylik,Haziran,24,C
Aylik,Agustos,54,C
Yillik,Mart,32,C
Yillik,Haziran,22,C
Yillik,Kasim,27,C
Aylik,Ekim,48,B
Aylik,Eylul,50,C
Gunluk,Haziran,20,A
Aylik,Aralik,31,B
Aylik,Ocak,18,C
Yillik,Agustos,62,C
Gunluk,Aralik,36,C
Aylik,Mart,59,C
Aylik,Agustos,24,C
Yillik,Subat,44,C
Aylik,Mart,32,B
Yillik,Mayis,53,C
Aylik,Temmuz,30,B
Aylik,Ocak,35,B
Gunluk,Subat,27,A
Yillik,Agustos,65,C
Aylik,Agustos,62,C
Aylik,Nisan,28,C
Yillik,Agustos,49,C
Gunluk,Ocak,20,A
Aylik,Temmuz,60,C
Yillik,Ekim,54,C
Aylik,Kasim,42,B
Yillik,Haziran,54,C
Yillik,Haziran,63,C
Aylik,Subat,31,B
